Name,Category ID,Category Name,Latitude,Longitude,Popularity,Price,Rating
Picnic Finland Oy,13032,"Cafe, Coffee, and Tea House",60.153518,24.880121,0.0,Not Listed,0.0
Isodont Oy,15007,Dentist,60.153733,24.880198,0.0,Not Listed,0.0
MV Restaurants Oy,13065,Restaurant,60.155135,24.886612,0.0,Not Listed,0.0
Helsingin kaupunki Lauttasaaren kirjasto,12080,Library,60.158796,24.883053,0.989452670373723,Not Listed,7.7
Joogakoulu Silta,18028,Yoga Studio,60.158271,24.878053,0.6377699469804733,Not Listed,0.0
Sushi Bar,13276,Sushi Restaurant,60.15435,24.866698,0.388731734126471,Affordable,0.0
Hsl 1027 Gyldénintie,19043,Bus Stop,60.158913,24.876592,0.9946738005948532,Not Listed,0.0
HSL 1031 Kuikkarinne,19043,Bus Stop,60.156744,24.868856,0.576070089227984,Not Listed,0.0
Kahvila Puhuri,13035,Coffee Shop,60.159502,24.87926,0.9959912065175224,Not Listed,0.0
Kaunis Kampela,13006,Beer Bar,60.160875,24.888532,0.995110241820768,Affordable,7.9
Pizzeria Luca,13064,Pizzeria,60.159976,24.880939,0.9971631320315529,Most Affordable,7.7
Casa Mare,13302,Mediterranean Restaurant,60.16016,24.877216,0.9857429199534463,Affordable,6.9
Korat Cafe,13352,Thai Restaurant,60.160313,24.877143,0.2598765032975559,Affordable,6.6
Hanko Sushi,13276,Sushi Restaurant,60.160171,24.880702,0.1181947497736971,Affordable,6.3
Ravintola Rixi-Baari,13007,Beer Garden,60.156563,24.864338,0.9700472003103581,Most Affordable,5.4
Kahvila Gluteeniton Unelma,13035,Coffee Shop,60.159728,24.880339,0.7775766196818829,Most Affordable,0.0
Friends & Brgrs Lauttis,13031,Burger Joint,60.159982,24.881044,0.9677033492822966,Most Affordable,0.0
HSL 1030 Kuikkarinne,19043,Bus Stop,60.157085,24.86844,0.9297652916073968,Not Listed,0.0
Hsl 1024,19043,Bus Stop,60.160326,24.879835,0.9369099961205224,Not Listed,0.0
Hsl 1025,19043,Bus Stop,60.160687,24.879734,0.5079771757403336,Not Listed,0.0
Kirkkokahvila,13034,Café,60.158603,24.869185,0.947586641665589,Most Affordable,0.0
HSL 1041 Pajalahdentie,19043,Bus Stop,60.159641,24.888117,0.9678326652010864,Not Listed,0.0
Chez Olli,13338,Seafood Restaurant,60.161276,24.873261,0.3196042932885038,Expensive,0.0
Kaaren Baari,13007,Beer Garden,60.157204,24.86367,0.9366351997930944,Most Affordable,0.0
Pohjoiskaaren Rantatie,16019,Hiking Trail,60.161237,24.892605,0.9608980990559938,Not Listed,0.0
HSL 1065 Lahnalahdentie,19043,Bus Stop,60.161234,24.868459,0.4802631578947368,Not Listed,0.0
Esanssi,13065,Restaurant,60.161086,24.866947,0.7602967800336221,Not Listed,0.0
Myllykallion koira-aitaus,16033,Dog Park,60.161301,24.867024,0.9432464761412128,Not Listed,0.0
HSL 1066 Katajaharju,19043,Bus Stop,60.161671,24.866234,0.9268960946592526,Not Listed,0.0
Hsl 1033,19043,Bus Stop,60.157775,24.862747,0.5422943876891245,Not Listed,0.0
Katajaharjun Pururata,16019,Hiking Trail,60.163523,24.863975,0.9737892797103325,Not Listed,0.0
Deliria Classics Oy,13065,Restaurant,60.161302,24.862058,0.0,Not Listed,0.0
Ravintola Long River,13099,Chinese Restaurant,60.161761,24.859354,0.9560002586318376,Most Affordable,6.2
Ravintola Mestaritalli,13065,Restaurant,60.158407,24.862767,0.9281811716022242,Not Listed,0.0
Hesus's Herb Garden,13068,American Restaurant,60.156492,24.864875,0.0974799560325876,Affordable,0.0
HSL 1032 Takaniementie,19043,Bus Stop,60.156499,24.86498,0.9498496702444073,Not Listed,0.0
Lystiserkkujen kesäkeittiö,13336,Scandinavian Restaurant,60.154854,24.858073,0.5352224233803181,Affordable,0.0
Larun Metsätie,16019,Hiking Trail,60.159617,24.868625,0.0102967800336221,Not Listed,0.0
HSL 1036 Vaskiniementie,19043,Bus Stop,60.161767,24.859459,0.9477886977886978,Not Listed,0.0
Roskis,13049,Diner,60.161292,24.867712,0.1893831630673736,Most Affordable,0.0
HSL 1038 Koivusaarentie,19043,Bus Stop,60.164942,24.858183,0.917650006465796,Not Listed,0.0
Min Krog NJK,13065,Restaurant,60.162847,24.848325,0.9673558127505496,Not Listed,0.0
T&T Teurastamo,13022,Sports Bar,60.16176,24.861837,0.4692308935729988,Most Affordable,0.0
Salaattibaari Oliivi,13332,Salad Restaurant,60.160844,24.859796,0.5511201991465149,Most Affordable,0.0
HSL 1064 Lahnalahdentie,19043,Bus Stop,60.161347,24.87024,0.5075568990042674,Not Listed,0.0
HSL 1034 Viklakuja,19043,Bus Stop,60.15834,24.86172,0.9526218802534592,Not Listed,0.0
Sushi art,13276,Sushi Restaurant,60.166138,24.84476,0.2151509231170123,Affordable,0.0
HSL E2332 Hanasaari,19043,Bus Stop,60.165826,24.84232,0.9534299825009634,Not Listed,0.0
Kamppiroll Oy,10000,Arts and Entertainment,60.167666,24.858923,0.0,Not Listed,0.0
Fazer Food & Co Ruoholahti,13065,Restaurant,60.163877,24.915346,0.9706372041898358,Not Listed,6.5
Ismet Jätkäsaari,13288,Kebab Restaurant,60.157732,24.911994,0.9550788827104616,Not Listed,5.7
Ravintola Fokka,13065,Restaurant,60.16522,24.909985,0.956380124143282,Most Affordable,5.6
Notre Dam,13010,Dive Bar,60.162613,24.913612,0.96094659252554,Most Affordable,5.6
Hesburger Helsinki Ruoholahti,13145,Fast Food Restaurant,60.164342,24.906879,0.9707422733738523,Most Affordable,4.9
Subway,13039,Deli,60.163405,24.91118,0.937176710203026,Most Affordable,4.7
Fungo,10001,Amusement Park,60.165865,24.903556,0.6231653304021725,Not Listed,0.0
Big House Cafe & Bar,13003,Bar,60.165879,24.903766,0.6893912453122979,Most Affordable,0.0
Takeoff Simulations Oy,10001,Amusement Park,60.165927,24.903706,0.9380576748997802,Not Listed,0.0
Ravintola Silta,13065,Restaurant,60.162277,24.901607,0.0177405276089486,Not Listed,0.0
My Lunch,13065,Restaurant,60.163821,24.906949,0.9499951506530454,Not Listed,0.0
Näkinhammas,15007,Dentist,60.164417,24.907239,0.5441128927971033,Not Listed,0.0
Ebeling Hammaslääkärit,15007,Dentist,60.164434,24.908347,0.916566985645933,Not Listed,0.0
HTC Helsinki,13034,Café,60.161455,24.906897,0.3478274925643346,Not Listed,0.0
Asian Fusion Kitchen,13072,Asian Restaurant,60.163401,24.910282,0.5739444588128799,Affordable,0.0
Osaka Sushi,13276,Sushi Restaurant,60.163678,24.91051,0.6803148842622527,Affordable,0.0
Gateau Ruoholahti,13065,Restaurant,60.162551,24.913462,0.2559162032846243,Not Listed,0.0
"Sodexo, Restaurant Laituri",13065,Restaurant,60.165956,24.914168,0.573831307383939,Not Listed,0.0
Sharmila's,13199,Indian Restaurant,60.162841,24.913899,0.8907684598474074,Affordable,0.0
Kotkotchicken Lapinlahden sairaala,13031,Burger Joint,60.167778,24.913078,0.3602660675029096,Most Affordable,0.0
HSL 1301 Ruoholahti,19043,Bus Stop,60.16318,24.914276,0.040645609724557,Not Listed,0.0
Fazer Amica Itämerenkatu,13030,Buffet,60.163877,24.915346,0.4467460881934566,Not Listed,0.0
Hammaslääkäriasema Ruohonjuuri,15007,Dentist,60.160975,24.913462,0.9302825552825553,Not Listed,0.0
Roll Sushi,13276,Sushi Restaurant,60.159337,24.911621,0.9262737618000776,Affordable,0.0
Lapinlahden koira-aitaus,16033,Dog Park,60.16752,24.91565,0.9486777447303764,Not Listed,0.0
Cafe & Bistro Hiezu,13034,Café,60.173457,24.905707,0.9779031423768266,Most Affordable,0.0
Technopolis Ruoholahti,13032,"Cafe, Coffee, and Tea House",60.166043,24.902211,0.0,Not Listed,0.0
Allmed Lääkäripalvelut Oy,15007,Dentist,60.164483,24.908287,0.0,Not Listed,0.0
Subway,13039,Deli,60.163492,24.910059,0.0,Not Listed,0.0
Ravintola Konservatorio,13065,Restaurant,60.162089,24.914475,0.0,Not Listed,0.0
Hammaslääkäri Anne Miettunen,15007,Dentist,60.16307,24.915877,0.0,Not Listed,0.0
La Sirena,13064,Pizzeria,60.157775,24.916005,0.9649957972326392,Most Affordable,7.2
Subway,13039,Deli,60.156398,24.92084,0.9300481701797492,Most Affordable,4.7
Santa Clara,13065,Restaurant,60.15467,24.908389,0.943109077977499,Not Listed,0.0
