Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
The TRAY,bars,Bars,60.1685148867675,24.9474292248487,Expensive,5.0
Kulturkontakt Nord,libraries,Libraries,60.1721770783904,24.9482131004333,Not Listed,5.0
Chihuahua Julep,cocktailbars,Cocktail Bars,60.16512,24.94452,Not Listed,5.0
Roasberg,delis,Delis,60.17067,24.9461,Most Affordable,4.3
Café Engel,coffee,Coffee & Tea,60.1689979245312,24.9515845722941,Affordable,4.2
Stefan's Steakhouse,tradamerican,American,60.1663789718032,24.9454992830506,Most Expensive,4.2
Voffeli & Kaffeli,waffles,Waffles,60.1752208025119,24.9244651934071,Not Listed,4.6
Bar Favela,bars,Bars,60.1721191,24.9204693,Affordable,4.8
Botta,restaurants,Restaurants,60.1739693,24.9314995,Not Listed,4.4
Shanti,yoga,Yoga,60.1758308,24.9226704,Not Listed,4.3
Aa Han Thai,thai,Thai,60.1726913,24.9202194,Not Listed,4.3
Popup Showroom,cocktailbars,Cocktail Bars,60.166509,24.9306031,Expensive,5.0
Kotipizza,pizza,Pizza,60.163418326909,24.920708098611,Most Affordable,5.0
Soma,hotdogs,Fast Food,60.16952,24.9405,Not Listed,5.0
Banu Cafe,cafeteria,Cafeteria,60.15796,24.90865,Not Listed,5.0
SIS. Deli & Cafe,"delicatessen, juicebars","Delicatessen, Juice Bars & Smoothies",60.1676788,24.9397507,Affordable,4.3
Crystal Show Club,danceclubs,Dance Clubs,60.16525,24.93444,Affordable,5.0
Sushibar + Wine,sushi,Sushi Bars,60.1647186,24.9404697,Affordable,4.2
Fazer Cafe,icecream,Ice Cream & Frozen Yogurt,60.1692,24.93822,Affordable,4.2
Pueblo,mexican,Mexican,60.1652869698994,24.9294590950012,Affordable,4.2
Big Bowl Noodle Restaurant,noodles,Noodles,60.16671,24.93041,Not Listed,4.7
Wanhakettu,restaurants,Restaurants,60.1672287,24.9295807,Most Affordable,4.2
Atelje Finne,scandinavian,Scandinavian,60.1710091,24.9282398,Most Expensive,4.2
GLO Hotel Art,hotels,Hotels,60.16435,24.93175,Most Expensive,4.2
Mount Everest,himalayan,Himalayan/Nepalese,60.1671906,24.9276791,Most Affordable,4.1
Yeti Nepal,himalayan,Himalayan/Nepalese,60.1630211,24.9163303,Affordable,4.1
Antiokia Atabar,turkish,Turkish,60.1643105,24.9277802,Affordable,4.1
Halikarnas,turkish,Turkish,60.1648483,24.9262505,Affordable,4.1
Helka,hotels,Hotels,60.1699791,24.9272594,Affordable,4.1
Fafa's,"mideastern, falafel","Middle Eastern, Falafel",60.1701094,24.9282222,Most Affordable,4.1
Satkar,himalayan,Himalayan/Nepalese,60.169230186131,24.9297068567911,Affordable,4.0
Habibi,mideastern,Middle Eastern,60.1679067307259,24.931062306504,Affordable,4.0
Aalto-yliopiston kirjasto,libraries,Libraries,60.1696823540992,24.9216086657924,Not Listed,5.0
Theron Catering,buffets,Buffets,60.16233,24.90213,Affordable,5.0
Perho,french,French,60.1708717,24.9212303,Affordable,4.0
Helsingin Astanga Joogakoulu,yoga,Yoga,60.1638184,24.9247093,Not Listed,5.0
Cafferino Oba,coffee,Coffee & Tea,60.164403,24.9293096,Most Affordable,5.0
Mei Lin,chinese,Chinese,60.16682,24.92958,Affordable,4.0
Hanken Bibliotek,libraries,Libraries,60.17079,24.92437,Not Listed,5.0
Kuwano,asianfusion,Asian Fusion,60.1678944972374,24.931104060852,Not Listed,4.3
Casa Chipotle,"mexican, coffee","Mexican, Coffee & Tea",60.1645716567608,24.927630839434,Not Listed,5.0
Roslund,burgers,Burgers,60.1629216119405,24.9288650333784,Affordable,4.0
Ravintola Hima & Sali Kaapelitehdas,breakfast_brunch,Breakfast & Brunch,60.1618109956429,24.9030037965841,Most Affordable,4.0
The Red Koi Thai,thai,Thai,60.1643934168904,24.9325075972729,Not Listed,5.0
Mount Kailash,indpak,Indian,60.1574211,24.92062,Most Affordable,4.0
Hammaslääkäriasema Ruohonjuuri,dentists,Dentists,60.1609917,24.9137001,Not Listed,5.0
Tortilla House,mexican,Mexican,60.1687720028784,24.932257744519,Most Affordable,3.9
Salve,bistros,Bistros,60.161162496413,24.9300458944161,Affordable,3.9
Kannas,pubs,Pubs,60.1638184,24.9247093,Affordable,3.9
Hercules,danceclubs,Dance Clubs,60.1702,24.92793,Affordable,3.9
Shaker,bars,Bars,60.1696892,24.9303703,Affordable,3.9
One Pint Pub,pubs,Pubs,60.1619828344898,24.92023229599,Expensive,3.9
Aalto-yliopiston Rafla,comfortfood,Comfort Food,60.1716421593453,24.9231054504796,Not Listed,4.3
Ravintola Kuu,french,French,60.1802078365307,24.9252714679363,Expensive,4.4
Ravintola Aito,scandinavian,Scandinavian,60.1756592,24.9209709,Most Expensive,4.4
Umeshu,sushi,Sushi Bars,60.1774361010774,24.9246255812324,Expensive,4.4
Ravintola KuuKuu,scandinavian,Scandinavian,60.175213025186,24.924883187958,Expensive,4.3
Wagocoro,sushi,Sushi Bars,60.1807252,24.9252809,Affordable,4.9
Soup,vegetarian,Vegetarian,60.1807613030336,24.9246104825112,Most Affordable,4.8
Lukla,himalayan,Himalayan/Nepalese,60.1815641829252,24.9265288173329,Affordable,4.5
YTHS Töölö,physicians,Doctors,60.1822395,24.9228802,Not Listed,4.4
Linko Pizzabar,pizza,Pizza,60.181794284692,24.9252077433968,Affordable,4.3
Döner Harju,kebab,Kebab,60.1698629067976,24.9412618211675,Not Listed,5.0
