Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
HSL Reijolankatu 2077,19043,Bus Stop,60.189943,24.917349,0.1156245958877537,Not Listed,0.0,60.19,24.917,60.19_24.917
Coronaria Dent Hammasklinikka,15007,Dentist,60.199642,24.897953,0.7125792060002586,Not Listed,0.0,60.2,24.898,60.2_24.898
HSL 2070 Jäähalli,19043,Bus Stop,60.189236,24.919454,0.9615850898745636,Not Listed,0.0,60.189,24.919,60.189_24.919
Salakapakka Kalamalja,13021,Speakeasy,60.200008,24.896263,0.027099767231346,Expensive,0.0,60.2,24.896,60.2_24.896
Vauvauinti Kultakalat,12009,Education,60.19845,24.897372,0.5756740592266908,Not Listed,0.0,60.198,24.897,60.198_24.897
Asumispalvelukeskus Wilhelmiina,12091,Public and Social Service,60.198222,24.897086,0.1050691840165524,Not Listed,0.0,60.198,24.897,60.198_24.897
HSL 1928 Ruskeasuo,19043,Bus Stop,60.202581,24.898773,0.942947433079012,Not Listed,0.0,60.203,24.899,60.203_24.899
Ravintola Darshan,13072,Asian Restaurant,60.202845,24.898791,0.9792771240139662,Affordable,0.0,60.203,24.899,60.203_24.899
PlusTerveys Terveyspuisto,15007,Dentist,60.202194,24.907609,0.1228824518298202,Not Listed,0.0,60.202,24.908,60.202_24.908
HSL 2083 Invalidisäätiö,19043,Bus Stop,60.202263,24.907864,0.5707600543126858,Not Listed,0.0,60.202,24.908,60.202_24.908
HSL 1386 Paciuksenkaari,19043,Bus Stop,60.195254,24.891667,0.9540686020949178,Not Listed,0.0,60.195,24.892,60.195_24.892
Stu,13065,Restaurant,60.204465,24.895345,0.1137737618000775,Not Listed,0.0,60.204,24.895,60.204_24.895
Bistro Elo,13027,Bistro,60.205749,24.899881,0.9890970515970516,Not Listed,0.0,60.206,24.9,60.206_24.9
HSL 1382 Mäntytie,19043,Bus Stop,60.191185,24.902054,0.4582309582309582,Not Listed,0.0,60.191,24.902,60.191_24.902
HSL 1383 Mäntytie,19043,Bus Stop,60.191174,24.90105,0.837587288245183,Not Listed,0.0,60.191,24.901,60.191_24.901
Pikku Huopalahden Hammaslääkäriasema Tandex Oy,15007,Dentist,60.205555,24.892658,0.3416607396870554,Not Listed,0.0,60.206,24.893,60.206_24.893
HSL 1930 Ruskeasuon Varikko,19043,Bus Stop,60.206835,24.898782,0.3800271563429458,Not Listed,0.0,60.207,24.899,60.207_24.899
HSL 1388 Munkkiniemen aukio,19043,Bus Stop,60.196,24.886012,0.9836253717832664,Not Listed,0.0,60.196,24.886,60.196_24.886
HSL 1391 Munkkiniemen aukio,19043,Bus Stop,60.197508,24.884962,0.9643977111082376,Not Listed,0.0,60.198,24.885,60.198_24.885
HSL 1932 Ruskeasuon varikko,19043,Bus Stop,60.207098,24.8988,0.265857364541575,Not Listed,0.0,60.207,24.899,60.207_24.899
HSL 1406 Munkkiniemen aukio,19043,Bus Stop,60.195869,24.885607,0.8283007888271047,Not Listed,0.0,60.196,24.886,60.196_24.886
Munkkiniemen pizzeria ja kebab Ky,13064,Pizzeria,60.198474,24.884461,0.9638723651881548,Most Affordable,0.0,60.198,24.884,60.198_24.884
HSL 1381 Tukholmankatu,19043,Bus Stop,60.190577,24.905732,0.959540281908703,Not Listed,0.0,60.191,24.906,60.191_24.906
A&O Mediclinics Oy,15007,Dentist,60.197699,24.883826,0.936303827751196,Not Listed,0.0,60.198,24.884,60.198_24.884
Restaurant Lumbini Munkkiniemi,13194,Himalayan Restaurant,60.199899,24.88374,0.9502295357558516,Not Listed,0.0,60.2,24.884,60.2_24.884
Munkkiniemen Hammaslaboratorio Antti Huhtala Oy,15007,Dentist,60.196824,24.884103,0.7036402431139274,Not Listed,0.0,60.197,24.884,60.197_24.884
Daniel's,13065,Restaurant,60.198005,24.883679,0.1434679296521401,Not Listed,0.0,60.198,24.884,60.198_24.884
HSL 1407 Munkkiniemen aukio,19043,Bus Stop,60.195692,24.884467,0.9785658864606231,Not Listed,0.0,60.196,24.884,60.196_24.884
Dentaurus Oy,15007,Dentist,60.197766,24.896512,0.0,Not Listed,0.0,60.198,24.897,60.198_24.897
Mediverkko Hammaslääkäripalvelut Oy,15007,Dentist,60.195192,24.891517,0.0,Not Listed,0.0,60.195,24.892,60.195_24.892
Ripatti Healthcare,15007,Dentist,60.193017,24.908631,0.0,Not Listed,0.0,60.193,24.909,60.193_24.909
Cafe Tarina - Munkkiniemi,13034,Café,60.19861,24.875821,0.9729810552178974,Most Affordable,8.2,60.199,24.876,60.199_24.876
