Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
The Riff,bars,Bars,60.1641388,24.9428196,657.7119655555332,€€,4.4
Toca,modern_european,Modern European,60.1654414,24.9512655,878.8528443819528,€€€,4.4
A21 Decades,lounges,Lounges,60.1667658,24.9372628,1041.9826698175461,€€€,4.4
Casa Italia,italian,Italian,60.164694199889,24.9379016252986,819.3753449530323,€€,4.4
Milli Miglia,bars,Bars,60.16494,24.93192,1051.0723278717785,€€,4.4
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,689.0229360500152,,4.4
Brooklyn Cafe,bagels,Bagels,60.16131,24.94182,525.5662497579771,€,4.3
Saslik,russian,Russian,60.15868,24.9485092,222.23929950828204,€€€€,4.3
Istanbul Grilli,turkish,Turkish,60.1629414443893,24.9389866097799,620.4890208843987,€€€,4.3
Pastor,latin,Latin American,60.1660614,24.9430008,837.4033727719493,€€€,4.3
Ravintola Natura,scandinavian,Scandinavian,60.16369,24.94181,603.3685555260206,€€€€,4.3
BrewDog,pubs,Pubs,60.16062,24.9425199,314.0693268513343,€€,4.3
Ravintola Maxill,food,Food,60.1604385,24.9461498,255.75264595360383,€€€,4.3
SIS. Deli & Café,coffee,Coffee & Tea,60.16077,24.94634,265.1322016151954,€,4.3
100 Dogs,cocktailbars,Cocktail Bars,60.1666505261397,24.9308481417667,1219.5545952720627,€€,4.3
Aangan,himalayan,Himalayan/Nepalese,60.1631012,24.9274998,1095.9469653341391,€€,4.3
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,427.15448684872723,€€€€,5.0
Casa Chipotle,mexican,Mexican,60.1645288454964,24.927932633924,861.7158668904522,,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,524.8434072306873,€€,4.8
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,740.630232585878,€€€€,4.8
PASSIO Keittiö ja Baari,modern_european,Modern European,60.1670838,24.9369496,727.7611165739947,€€€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,374.02911910495885,€€€€,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,497.30198640386976,€€€,4.8
Phó Viét,vietnamese,Vietnamese,60.1678284709583,24.9374913705416,795.8241648881041,,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,443.2874366427074,€€€€,4.8
Pompier,scandinavian,Scandinavian,60.1671925257657,24.9492107925732,801.3847689396763,€€€,4.8
Finlandia Caviar Shop & Restaurant,gourmet,Specialty Food,60.16691,24.95163,894.3585484080512,,5.0
Trillby & Chadwick,speakeasies,Speakeasies,60.16835,24.9538,1066.168610751115,€€,4.7
Patisserie Teemu & Markus,desserts,Desserts,60.1678773247786,24.9379374190249,794.0154422284046,€,4.7
Kafe Moskova,russian,Russian,60.1670113,24.9338894,781.5611276715579,€€,4.7
Momo Toko,ramen,Ramen,60.16616,24.9339,715.7699118445067,,4.7
Karl Johan,scandinavian,Scandinavian,60.1680266,24.9389719,795.228836440797,€€€,4.7
Zucchini,vegetarian,Vegetarian,60.1662313763646,24.9494676174376,719.9400422308456,€,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,625.4532506163205,,4.7
Fisken på Disken,seafood,Seafood,60.1693314661659,24.9338641883605,1025.1693298774805,,4.6
Bar Haven,champagne_bars,Champagne Bars,60.1666,24.95164,831.3396778258092,€€€,4.6
Olo,scandinavian,Scandinavian,60.1680572300478,24.9564699456096,1128.8984883209944,€€€€,4.6
Classic Pizza,pizza,Pizza,60.1685237503237,24.9424013740297,837.2631441427756,€€,4.6
Ravintola Aino,scandinavian,Scandinavian,60.1681595,24.9502296,900.787595106683,€€€€,4.6
Pompier,scandinavian,Scandinavian,60.1649543127515,24.9331962618671,647.9959164061153,€€,4.6
Kino Andorra & Dubrovnik,danceclubs,Dance Clubs,60.1670113,24.9338894,781.5611276715579,€€,4.6
Kissakahvila Helkatti,coffee,Coffee & Tea,60.1672089,24.933314,834.8883378855973,€€,4.6
Bar Mendocino,pubs,Pubs,60.1657849,24.931525,778.5928665525286,€,4.5
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,621.3157704645101,€€,4.5
Fulbari,himalayan,Himalayan/Nepalese,60.1573629,24.9320834,672.7495319529193,€€,4.8
