Yelp Name,Yelp Search,Yelp Category,Latitude,Longitude,Yelp Price,Yelp Rating,Rounded Latitude,Rounded Longitude,ID
Antiokia Atabar,turkish,Turkish,60.1643105,24.9277802,Affordable,4.1,60.164,24.928,60.164_24.928
Halikarnas,turkish,Turkish,60.1648483,24.9262505,Affordable,4.1,60.165,24.926,60.165_24.926
Helka,hotels,Hotels,60.1699791,24.9272594,Affordable,4.1,60.17,24.927,60.17_24.927
Fafa's,"mideastern, falafel","Middle Eastern, Falafel",60.1701094,24.9282222,Most Affordable,4.1,60.17,24.928,60.17_24.928
Satkar,himalayan,Himalayan/Nepalese,60.169230186131,24.9297068567911,Affordable,4.0,60.169,24.93,60.169_24.93
Habibi,mideastern,Middle Eastern,60.1679067307259,24.931062306504,Affordable,4.0,60.168,24.931,60.168_24.931
Aalto-yliopiston kirjasto,libraries,Libraries,60.1696823540992,24.9216086657924,Not Listed,5.0,60.17,24.922,60.17_24.922
Theron Catering,buffets,Buffets,60.16233,24.90213,Affordable,5.0,60.162,24.902,60.162_24.902
Perho,french,French,60.1708717,24.9212303,Affordable,4.0,60.171,24.921,60.171_24.921
Helsingin Astanga Joogakoulu,yoga,Yoga,60.1638184,24.9247093,Not Listed,5.0,60.164,24.925,60.164_24.925
Cafferino Oba,coffee,Coffee & Tea,60.164403,24.9293096,Most Affordable,5.0,60.164,24.929,60.164_24.929
Mei Lin,chinese,Chinese,60.16682,24.92958,Affordable,4.0,60.167,24.93,60.167_24.93
Hanken Bibliotek,libraries,Libraries,60.17079,24.92437,Not Listed,5.0,60.171,24.924,60.171_24.924
Kuwano,asianfusion,Asian Fusion,60.1678944972374,24.931104060852,Not Listed,4.3,60.168,24.931,60.168_24.931
Casa Chipotle,"mexican, coffee","Mexican, Coffee & Tea",60.1645716567608,24.927630839434,Not Listed,5.0,60.165,24.928,60.165_24.928
Roslund,burgers,Burgers,60.1629216119405,24.9288650333784,Affordable,4.0,60.163,24.929,60.163_24.929
Ravintola Hima & Sali Kaapelitehdas,breakfast_brunch,Breakfast & Brunch,60.1618109956429,24.9030037965841,Most Affordable,4.0,60.162,24.903,60.162_24.903
The Red Koi Thai,thai,Thai,60.1643934168904,24.9325075972729,Not Listed,5.0,60.164,24.933,60.164_24.933
Mount Kailash,indpak,Indian,60.1574211,24.92062,Most Affordable,4.0,60.157,24.921,60.157_24.921
Hammaslääkäriasema Ruohonjuuri,dentists,Dentists,60.1609917,24.9137001,Not Listed,5.0,60.161,24.914,60.161_24.914
Tortilla House,mexican,Mexican,60.1687720028784,24.932257744519,Most Affordable,3.9,60.169,24.932,60.169_24.932
Salve,bistros,Bistros,60.161162496413,24.9300458944161,Affordable,3.9,60.161,24.93,60.161_24.93
Kannas,pubs,Pubs,60.1638184,24.9247093,Affordable,3.9,60.164,24.925,60.164_24.925
Hercules,danceclubs,Dance Clubs,60.1702,24.92793,Affordable,3.9,60.17,24.928,60.17_24.928
Shaker,bars,Bars,60.1696892,24.9303703,Affordable,3.9,60.17,24.93,60.17_24.93
One Pint Pub,pubs,Pubs,60.1619828344898,24.92023229599,Expensive,3.9,60.162,24.92,60.162_24.92
Aalto-yliopiston Rafla,comfortfood,Comfort Food,60.1716421593453,24.9231054504796,Not Listed,4.3,60.172,24.923,60.172_24.923
Ravintola Kuu,french,French,60.1802078365307,24.9252714679363,Expensive,4.4,60.18,24.925,60.18_24.925
Ravintola Aito,scandinavian,Scandinavian,60.1756592,24.9209709,Most Expensive,4.4,60.176,24.921,60.176_24.921
Umeshu,sushi,Sushi Bars,60.1774361010774,24.9246255812324,Expensive,4.4,60.177,24.925,60.177_24.925
Ravintola KuuKuu,scandinavian,Scandinavian,60.175213025186,24.924883187958,Expensive,4.3,60.175,24.925,60.175_24.925
Wagocoro,sushi,Sushi Bars,60.1807252,24.9252809,Affordable,4.9,60.181,24.925,60.181_24.925
Soup,vegetarian,Vegetarian,60.1807613030336,24.9246104825112,Most Affordable,4.8,60.181,24.925,60.181_24.925
Lukla,himalayan,Himalayan/Nepalese,60.1815641829252,24.9265288173329,Affordable,4.5,60.182,24.927,60.182_24.927
YTHS Töölö,physicians,Doctors,60.1822395,24.9228802,Not Listed,4.4,60.182,24.923,60.182_24.923
Linko Pizzabar,pizza,Pizza,60.181794284692,24.9252077433968,Affordable,4.3,60.182,24.925,60.182_24.925
Döner Harju,kebab,Kebab,60.1698629067976,24.9412618211675,Not Listed,5.0,60.17,24.941,60.17_24.941
Bar Bhangra,bars,Bars,60.1746763096013,24.9218718083401,Most Affordable,4.3,60.175,24.922,60.175_24.922
Daddy Greens Pizzabar,pizza,Pizza,60.18503,24.92031,Not Listed,4.5,60.185,24.92,60.185_24.92
Sushibar + Wine,sushi,Sushi Bars,60.1840781,24.9197946,Not Listed,4.3,60.184,24.92,60.184_24.92
Töölön kirjasto,libraries,Libraries,60.1832884612179,24.9175566663552,Not Listed,4.3,60.183,24.918,60.183_24.918
Rajasaaren koirapuisto,dog_parks,Dog Parks,60.181881,24.90872,Not Listed,4.3,60.182,24.909,60.182_24.909
Oodi,libraries,Libraries,60.1737602040936,24.9380516215361,Not Listed,5.0,60.174,24.938,60.174_24.938
Sinne,scandinavian,Scandinavian,60.16767,24.9375,Expensive,4.2,60.168,24.938,60.168_24.938
Ilves,scandinavian,Scandinavian,60.168467858672,24.9326658364929,Affordable,4.1,60.168,24.933,60.168_24.933
Tin Tin Tango,breakfast_brunch,Breakfast & Brunch,60.1785088,24.9253006,Affordable,4.1,60.179,24.925,60.179_24.925
Troikka,russian,Russian,60.1737785,24.9200993,Not Listed,4.1,60.174,24.92,60.174_24.92
India House,indpak,Indian,60.1688919,24.9367695,Affordable,4.1,60.169,24.937,60.169_24.937
New Bamboo Center,chinese,Chinese,60.16799,24.93588,Most Affordable,4.1,60.168,24.936,60.168_24.936
OmNam,vegan,Vegan,60.16799,24.93588,Most Affordable,4.1,60.168,24.936,60.168_24.936
Töölön Sävel,gastropubs,Gastropubs,60.1781726318713,24.9224498823596,Affordable,4.1,60.178,24.922,60.178_24.922
Mountain,himalayan,Himalayan/Nepalese,60.1863289,24.9166298,Affordable,4.1,60.186,24.917,60.186_24.917
Benjam's Bistro,italian,Italian,60.1736717,24.9293404,Affordable,4.1,60.174,24.929,60.174_24.929
Oral Hammaslääkärit,"generaldentistry, dentists","General Dentistry, Dentists",60.18222,24.92092,Not Listed,5.0,60.182,24.921,60.182_24.921
Burger King,"burgers, hotdogs","Burgers, Fast Food",60.17038,24.940636,Most Affordable,4.0,60.17,24.941,60.17_24.941
Väentupa,sportsbars,Sports Bars,60.1707306,24.934,Not Listed,5.0,60.171,24.934,60.171_24.934
Ravintola Buddha,food,Food,60.1726668,24.9320088,Not Listed,5.0,60.173,24.932,60.173_24.932
Tanskalainen Voileipä,sandwiches,Sandwiches,60.17496,24.92922,Not Listed,5.0,60.175,24.929,60.175_24.929
Jänö,foodstands,Food Stands,60.1742147499342,24.9308367250901,Not Listed,5.0,60.174,24.931,60.174_24.931
Ristorante Lo Stretto,italian,Italian,60.1702,24.94146,Not Listed,5.0,60.17,24.941,60.17_24.941
Daruma,sushi,Sushi Bars,60.1750646893393,24.9268095235212,Not Listed,5.0,60.175,24.927,60.175_24.927
Elite,scandinavian,Scandinavian,60.1765866118968,24.9230112962382,Expensive,4.0,60.177,24.923,60.177_24.923
Don Angelo,italian,Italian,60.1829233737037,24.9262084248486,Not Listed,4.0,60.183,24.926,60.183_24.926
Picnic,coffee,Coffee & Tea,60.1797326544536,24.9233973026276,Most Affordable,5.0,60.18,24.923,60.18_24.923
Sushibar + Wine,sushi,Sushi Bars,60.1702155592826,24.9414505665228,Not Listed,5.0,60.17,24.941,60.17_24.941
Sushi Panda,sushi,Sushi Bars,60.18326,24.92388,Not Listed,5.0,60.183,24.924,60.183_24.924
Vastarannan Kiiski,restaurants,Restaurants,60.174140897385,24.922029621553,Affordable,4.0,60.174,24.922,60.174_24.922
Pinto B'staurant,thai,Thai,60.1876219771893,24.9641126468138,Most Affordable,4.7,60.188,24.964,60.188_24.964
Kallion kirjasto,libraries,Libraries,60.1836153027195,24.9536300322936,Not Listed,4.6,60.184,24.954,60.184_24.954
Solmu Pub,pubs,Pubs,60.18819,24.95748,Most Affordable,4.8,60.188,24.957,60.188_24.957
