Data Point,Free Bikes,Rounded Latitude,Rounded Longitude
Bike Spot,4,60.316,24.85
Bike Spot,15,60.27,24.853
Bike Spot,6,60.313,25.027
Bike Spot,3,60.298,25.018
Bike Spot,11,60.323,25.06
Bike Spot,4,60.293,25.052
Bike Spot,7,60.292,25.045
Bike Spot,2,60.291,25.022
Bike Spot,1,60.323,24.842
Bike Spot,6,60.271,24.804
Bike Spot,0,60.305,24.966
Bike Spot,6,60.269,24.82
Bike Spot,0,60.295,24.922
Bike Spot,10,60.261,24.855
Bike Spot,4,60.29,24.949
Bike Spot,2,60.266,24.852
Bike Spot,0,60.317,25.027
Bike Spot,7,60.264,24.841
Bike Spot,4,60.294,25.03
Bike Spot,0,60.295,24.907
Bike Spot,2,60.292,25.018
Bike Spot,1,60.295,25.049
Bike Spot,9,60.281,24.966
Bike Spot,2,60.323,25.038
Bike Spot,0,60.305,24.959
Bike Spot,1,60.301,25.041
Bike Spot,7,60.292,25.042
Bike Spot,8,60.269,24.879
Bike Spot,4,60.262,24.807
Bike Spot,1,60.332,25.061
Bike Spot,2,60.328,25.097
Bike Spot,24,60.285,24.911
Bike Spot,5,60.308,24.851
Bike Spot,1,60.296,24.963
Bike Spot,5,60.257,24.853
Bike Spot,6,60.255,24.815
Bike Spot,3,60.29,24.866
Bike Spot,0,60.305,25.042
Bike Spot,0,60.275,24.857
Bike Spot,2,60.296,25.06
Bike Spot,8,60.294,25.019
Bike Spot,3,60.299,25.042
Bike Spot,5,60.282,24.848
Bike Spot,3,60.257,24.806
Bike Spot,2,60.304,25.034
Bike Spot,1,60.29,24.964
Bike Spot,0,60.307,24.899
Bike Spot,9,60.322,24.853
Bike Spot,16,60.301,24.857
Bike Spot,12,60.321,25.073
Bike Spot,3,60.296,24.891
Bike Spot,4,60.296,25.034
Bike Spot,0,60.306,25.029
Bike Spot,8,60.313,25.035
Bike Spot,1,60.324,25.041
Bike Spot,0,60.291,24.962
Bike Spot,8,60.3,24.973
Bike Spot,4,60.276,24.97
Bike Spot,5,60.295,25.045
Bike Spot,7,60.28,24.956
Bike Spot,2,60.29,24.968
Bike Spot,5,60.279,24.84
Bike Spot,6,60.263,24.855
Bike Spot,3,60.279,24.861
Bike Spot,13,60.324,25.062
Bike Spot,1,60.313,24.968
Bike Spot,4,60.264,24.872
Bike Spot,5,60.333,25.067
Bike Spot,7,60.283,24.872
Bike Spot,7,60.308,25.036
Bike Spot,13,60.314,25.113
Bike Spot,6,60.269,24.872
Bike Spot,1,60.301,24.933
Bike Spot,11,60.282,24.974
Bike Spot,1,60.285,25.045
Bike Spot,5,60.292,25.006
Bike Spot,12,60.289,25.042
Bike Spot,6,60.294,24.948
Bike Spot,0,60.259,24.83
Bike Spot,0,60.294,25.025
Bike Spot,16,60.265,24.882
Bike Spot,7,60.278,24.822
Bike Spot,1,60.319,24.85
Bike Spot,5,60.276,24.846
Bike Spot,3,60.318,24.831
Bike Spot,27,60.251,24.987
Bike Spot,5,60.185,24.926
