Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Description
Hsl 1772,19043,Bus Stop,60.231775,24.874768,526,0.34075552825552824,,,WGS84 koordinaatit lat: 60.23181 lon: 24.87496 Pysäkkikoodi: 1294108
Lassilan Pizza & Kebab Palvelu,13288,Kebab Restaurant,60.229787,24.881497,546,0.9599039829302988,,,
HOK-Elannon Ravintolat,13065,Restaurant,60.230201,24.882235,606,0.3819588128798655,,,
Tempura Sushi,13276,Sushi Restaurant,60.231043,24.881433,631,0.6944264839001681,2.0,,
Pub 123 Olohuone,13018,Pub,60.231196,24.881359,640,0.9212708521919049,1.0,,
HSL 1622 Lassila,19043,Bus Stop,60.2307,24.882644,656,0.9640501745764903,,,
Theron Catering Pitäjänmäki,11038,Event Service,60.221607,24.876676,695,0.5818731410836674,,,Theron Catering on pääkaupunkiseudulla toimiva catering-yritys. Toimintamme perustuu korkeatasoiseen ruokaan sekä laadukkaan varmaan palveluun.
HSL 1522 Takkatie,19043,Bus Stop,60.223899,24.862338,696,0.9136412129833182,,,
Pizzeria Benitto,13064,Pizzeria,60.224069,24.860886,758,0.6567308935729989,1.0,,
HSL H1523 Takkatie,19043,Bus Stop,60.222426,24.863121,760,0.9563962886331308,,,
Ravintola Picante,13065,Restaurant,60.222134,24.863478,769,0.9347682012155696,,,Välimerellistä ruokaa ja aurinkoista palvelua. Nuorekas ja välimerellisesti inspiroitunut Ravintola Picante tuo tuulahduksen meren tuoksua ja aurinkoa Strömberginkujalle! Meillä järjestät onnistuneet pikkujoulut tai muun yritystapahtuman...
HSL 1604 Valimo,19043,Bus Stop,60.220337,24.87653,773,0.4851529160739687,,,
Viinikahvila Pausa,13025,Wine Bar,60.224246,24.859539,817,0.9324647614121299,2.0,,
Ravintola Valimo 21,11021,Business Center,60.220302,24.879287,826,0.9705967929652141,,,
Ravintola Valaja,13065,Restaurant,60.220302,24.879287,826,0.9207455062718221,,,
Olutravintola Sockenbacka,13006,Beer Bar,60.224408,24.858776,850,0.9681236260183629,,,
Aino Acktén puiston koira-aitaus,16033,Dog Park,60.225993,24.888734,865,0.951393379024958,,,
HSL 1609 Klaneettipolku,19043,Bus Stop,60.234781,24.879126,914,0.9300158412000518,,,WGS84 koordinaatit lat: 60.23476 lon: 24.87900 Pysäkkikoodi: 1294241
