Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,Burger King,0.9918126858916332,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.208,24.947,6.9
Point of Interest,Burger King,0.9788112958940208,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.316,24.962,4.9
Point of Interest,Burger King,0.9726505466329548,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.318,24.968,5.3
Point of Interest,,,,,Burger King,Not Listed,"burgers, hotdogs","Burgers, Fast Food",60.319,24.968,6.0
Point of Interest,,,,,Bär Bar,Not Listed,juicebars,Juice Bars & Smoothies,60.165,24.936,10.0
Point of Interest,,,,,Cactus,Affordable,mexican,Mexican,60.209,24.946,8.0
Point of Interest,,,,,Cafe Bar '52,Most Affordable,restaurants,Restaurants,60.154,24.88,6.6
Point of Interest,Cafe II-Linja 23,0.980546036467089,Most Affordable,Cafe II-Linja 23,Cafe II-Linja 23,Not Listed,13018,Pub,60.183,24.945,9.0
Point of Interest,Café Merenneito,0.9897914961236576,Most Affordable,Cafe Merenneito,,,13034,Café,60.151,24.756,8.2
Point of Interest,,,,,Cafe Merenneito,Affordable,restaurants,Restaurants,60.15,24.755,9.6
Point of Interest,,,,,Cafe Panik,Not Listed,coffee,Coffee & Tea,60.16,24.94,10.0
Point of Interest,,,,,Cafe Pequeño,Most Affordable,soup,Soup,60.188,24.959,8.0
Point of Interest,Cafe Pequeño Oy,0.9804652140178456,Most Affordable,Cafe Pequeño,,,13034,Café,60.189,24.959,8.0
Point of Interest,Cafe Aalto,0.9973409414198888,Most Affordable,Cafe Talo,,,10000,Arts And Entertainment,60.168,24.944,7.6
Point of Interest,,,,,Cafe Talo,Affordable,bars,Bars,60.18,24.951,7.8
Point of Interest,Cafe Tarina,0.9947512881013146,Most Affordable,Cafe Tarina,,,13034,Café,60.176,24.804,5.7
Point of Interest,,,,,Cafe Tarina,Not Listed,coffee,Coffee & Tea,60.198,24.876,7.0
Point of Interest,Cafe Tori,0.9623945016203128,Expensive,Cafe Tarina,,,13034,Café,60.316,24.962,4.7
Point of Interest,,,,,Cafe Truffel,Most Affordable,coffee,Coffee & Tea,60.183,24.923,8.0
Point of Interest,,,,,Cafe Valimo,Not Listed,coffee,Coffee & Tea,60.22,24.877,6.0
Point of Interest,,,,,Cafe Yrjö,Expensive,coffee,Coffee & Tea,60.168,24.939,8.6
Point of Interest,,,,,Cafe m/s Otto,Affordable,pubs,Pubs,60.203,25.126,4.0
Point of Interest,,,,,Cafe+,Not Listed,japanese,Japanese,60.166,24.926,8.0
Point of Interest,,,,,Cafelito Cafe & Deli,Not Listed,coffee,Coffee & Tea,60.187,24.959,9.0
Point of Interest,,,,,Cafferino Oba,Most Affordable,coffee,Coffee & Tea,60.164,24.929,10.0
Point of Interest,,,,,Café DaJa,Affordable,german,German,60.171,24.957,9.2
Point of Interest,,,,,Café Einstein,Affordable,coffee,Coffee & Tea,60.288,25.041,4.6
Point of Interest,Café Engel,0.9939383163067372,Affordable,Café Engel,,,13034,Café,60.169,24.951,6.8
Point of Interest,,,,,Café Engel,Affordable,coffee,Coffee & Tea,60.169,24.952,8.4
Point of Interest,Cafe Lemon Bar,0.947974589421958,Affordable,Café Lemon Bar,Café Lemon Bar,Not Listed,13015,Karaoke Bar,60.212,24.898,5.7
Point of Interest,,,,,Café Rakastan,Not Listed,vegan,Vegan,60.175,24.934,10.0
Point of Interest,,,,,Café Zoceria,Affordable,desserts,Desserts,60.221,24.813,8.6
Point of Interest,,,,,Calori,Most Affordable,restaurants,Restaurants,60.182,24.832,8.0
Point of Interest,,,,,Camel Cafe,Not Listed,african,African,60.182,24.948,10.0
Point of Interest,Capperi,0.991505560584508,Most Affordable,Capperi,Capperi,Expensive,13064,Pizzeria,60.231,24.968,8.65
Point of Interest,,,,,Cardemumma,Affordable,cupcakes,Cupcakes,60.187,24.952,6.8
Point of Interest,,,,,Cargo,Affordable,breakfast_brunch,Breakfast & Brunch,60.163,24.923,8.6
Point of Interest,,,,,Caruzello,Not Listed,buffets,Buffets,60.188,24.941,6.0
Point of Interest,Caruzello,0.9272274667011506,Not Listed,Caruzello,,,13030,Buffet,60.189,24.94,5.3
Point of Interest,,,,,Casa Chipotle,Not Listed,"mexican, coffee","Mexican, Coffee & Tea",60.165,24.928,10.0
Point of Interest,,,,,Casa Chipotle,Not Listed,"mexican, coffee","Mexican, Coffee & Tea",60.165,24.928,10.0
Point of Interest,,,,,Casa Italia,Affordable,italian,Italian,60.165,24.938,8.8
Point of Interest,Casa Mare,0.9857429199534464,Affordable,Casa Mare,Casa Mare,Affordable,13302,Mediterranean Restaurant,60.16,24.877,6.25
Point of Interest,,,,,Cella,Affordable,divebars,Dive Bars,60.186,24.954,7.0
Point of Interest,,,,,Central,Affordable,modern_european,Modern European,60.158,24.946,7.4
Point of Interest,Caesars,0.1543036216658951,Most Affordable,Cesar's,,,13039,Deli,60.314,24.969,
Point of Interest,,,,,Cesar's,Not Listed,restaurants,Restaurants,60.318,24.966,7.0
