Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating,Free Bikes
,,,,Haukilahden Paviljonki,Expensive,scandinavian,Scandinavian,60.155,24.773,7.6,0.0
,,,,,,,,60.155,24.774,2.5561569451742865,10.0
Lystiserkkujen kesäkeittiö,0.5352224233803181,Affordable,,,,13336,Scandinavian Restaurant,60.155,24.858,0.0,0.0
Melisa,0.1501761929393508,Not Listed,,,,13288,Kebab Restaurant,60.155,24.882,0.0,0.0
Lauttasaaren Herkku,0.980012608302082,Not Listed,,,,13034,Café,60.155,24.885,0.0,0.0
,,,,Telakka Bistro,Affordable,modern_european,Modern European,60.155,24.887,7.6,0.0
Bistro Telakka,0.9864379930169404,Not Listed,,,,13027,Bistro,60.155,24.887,6.9,0.0
MV Restaurants Oy,0.0,Not Listed,,,,13065,Restaurant,60.155,24.887,0.0,0.0
Santa Clara,0.943109077977499,Not Listed,,,,13065,Restaurant,60.155,24.908,0.0,0.0
Krung Thep Thai Bistro Jätkäsaari,0.9868986809776285,Affordable,,,,13352,Thai Restaurant,60.155,24.908,0.0,0.0
Mashiro Jätkäsaari,0.97151816888659,Affordable,,,,13263,Japanese Restaurant,60.155,24.908,0.0,0.0
Baba's House,0.9452751196172248,Most Affordable,,,,13064,Pizzeria,60.155,24.91,0.0,11.0
Vessel Bistro,0.3322934178197336,Not Listed,,,,13027,Bistro,60.155,24.916,0.0,0.0
Kahvila-Ravintola Laivalaituri,0.9395609724557092,Affordable,,,,13003,Bar,60.155,24.921,5.2,0.0
Grill House,0.9228873011767748,Affordable,Tortilla House,,,13026,Bbq Joint,60.155,24.922,0.0,0.0
ms Koningsdam Culinary Arts Center,0.049576490365964,Most Expensive,,,,13311,Molecular Gastronomy Restaurant,60.155,24.923,0.0,0.0
Henkilöstöravintola Murtaja,0.9213274279063752,Affordable,,,,13336,Scandinavian Restaurant,60.155,24.927,0.0,0.0
,,,,Eiranrannan koirapuisto,Not Listed,dog_parks,Dog Parks,60.155,24.938,7.0,0.0
,,,,,,,,60.155,24.95,2.5561569451742865,24.0
Cafe Compass,0.980198499935342,Most Affordable,,,,13034,Café,60.155,24.952,7.9,0.0
,,,,,,,,60.155,24.959,2.5561569451742865,0.0
,,,,Ursula,Affordable,coffee,Coffee & Tea,60.155,24.961,8.0,0.0
Café Ursula,0.9961770981507824,Expensive,,,,13034,Café,60.155,24.961,7.3,0.0
HSL E4429 Hyljekuja,0.5471661771079116,Not Listed,,,,19043,Bus Stop,60.156,24.713,0.0,0.0
HSL E3137 Kalaonni,0.9542382947304217,Not Listed,,,,19043,Bus Stop,60.156,24.726,0.0,0.0
Kurim,0.7697468740469655,Affordable,,,,13068,American Restaurant,60.156,24.745,0.0,14.0
HSL E3106 Akselinpolku,0.9717821543795444,Not Listed,,,,19043,Bus Stop,60.156,24.745,0.0,14.0
,,,,,,,,60.156,24.752,2.5561569451742865,8.0
Haukilahden Helmi,0.9904977448195054,Not Listed,,,,13065,Restaurant,60.156,24.771,0.0,0.0
Line Cafe Oy,0.0,Not Listed,,,,13034,Café,60.156,24.773,0.0,0.0
,,,,Tvijälp,Not Listed,hiking,Hiking,60.156,24.806,8.0,0.0
Hesus's Herb Garden,0.0974799560325876,Affordable,,,,13068,American Restaurant,60.156,24.865,0.0,0.0
HSL 1032 Takaniementie,0.9498496702444073,Not Listed,,,,19043,Bus Stop,60.156,24.865,0.0,0.0
Kahvila Kasinonranta,0.9941484546747704,Affordable,Kahvila Kasinonranta,,,13034,Café,60.156,24.872,8.7,0.0
Makers Kahvila,0.9837789344368292,Most Affordable,,,,13034,Café,60.156,24.882,8.2,0.0
China-Boss,0.2648470839260313,Most Affordable,,,,13099,Chinese Restaurant,60.156,24.915,0.0,0.0
,,,,Little Big Cafe,Most Affordable,foodstands,Food Stands,60.156,24.921,8.0,0.0
Subway,0.9300481701797492,Most Affordable,Subway,Subway,Affordable,13039,Deli,60.156,24.921,5.550000000000001,0.0
HSL 1177 Eira,0.9887010215957583,Not Listed,,,,19042,Bus Station,60.156,24.942,0.0,0.0
HSL 1209 Merikatu,0.2589874563558774,Not Listed,,,,19042,Bus Station,60.156,24.949,0.0,0.0
Sushi & Co,0.9281045830189022,Affordable,,,,13276,Sushi Restaurant,60.156,24.966,0.0,0.0
,,,,,,,,60.157,24.738,2.5561569451742865,2.0
kateW,0.6305356254313735,Affordable,,,,13067,African Restaurant,60.157,24.767,0.0,0.0
,,,,Rixi-Baari,Affordable,restaurants,Restaurants,60.157,24.864,7.0,0.0
Ravintola Rixi-Baari,0.970047200310358,Most Affordable,,,,13007,Beer Garden,60.157,24.864,5.4,0.0
Kaaren Baari,0.9366351997930944,Most Affordable,,,,13007,Beer Garden,60.157,24.864,0.0,0.0
HSL 1030 Kuikkarinne,0.9297652916073968,Not Listed,,,,19043,Bus Stop,60.157,24.868,0.0,0.0
HSL 1031 Kuikkarinne,0.576070089227984,Not Listed,,,,19043,Bus Stop,60.157,24.869,0.0,13.0
,,,,,,,,60.157,24.885,2.5561569451742865,7.0
HSL 1043 Heikkiläntie,0.9927259795680848,Not Listed,,,,19043,Bus Stop,60.157,24.886,0.0,0.0
Spice Village,0.6569006207164102,Not Listed,,,,13316,Pakistani Restaurant,60.157,24.912,0.0,12.0
Fyge,0.7685406698564593,Not Listed,,,,13030,Buffet,60.157,24.914,0.0,0.0
,,,,Mount Kailash,Most Affordable,indpak,Indian,60.157,24.921,8.0,2.0
Jätkäsaaren Infokeskus Ja Kirjasto,0.9711625501099184,Not Listed,,,,12080,Library,60.157,24.921,6.8,2.0
Urbine,0.9900507564981248,Not Listed,,,,13065,Restaurant,60.157,24.922,5.9,0.0
Wingman,0.3780631708263287,Most Affordable,,,,13388,Wings Joint,60.157,24.922,0.0,0.0
Taurus,0.3085558644769171,Most Affordable,,,,13303,Mexican Restaurant,60.157,24.922,0.0,0.0
Baana,0.2199421311263416,Not Listed,,,,16004,Bike Trail,60.157,24.922,0.0,0.0
,,,,Ristorante Dei Piselli,Not Listed,restaurants,Restaurants,60.157,24.93,4.0,0.0
,,,,The Dockyard,Not Listed,burgers,Burgers,60.157,24.93,5.0,0.0
,,,,Fulbari,Affordable,himalayan,Himalayan/Nepalese,60.157,24.932,9.6,0.0
Ravintola Fulbari,0.9647694943747576,Most Affordable,Ravintola Inari,,,13072,Asian Restaurant,60.157,24.932,6.7,0.0
,,,,Ani,Affordable,turkish,Turkish,60.157,24.934,9.0,0.0
Ravintola Ani,0.0,Not Listed,Ravintola Aito,,,13034,Café,60.157,24.934,0.0,0.0
Colas Pizzeria,0.3587546877020561,Most Affordable,Rosas Pizzeria,,,13064,Pizzeria,60.157,24.942,0.0,0.0
,,,,Sushi'N'Roll,Expensive,sushi,Sushi Bars,60.157,24.945,7.8,0.0
La Creperie,0.7622526833053149,Expensive,,,,13148,French Restaurant,60.157,24.945,0.0,0.0
Terassi,0.3413940256045519,Most Affordable,,,,13064,Pizzeria,60.157,24.946,0.0,0.0
Pizzeria Sopranos,0.9488151428940904,Most Affordable,,,,13064,Pizzeria,60.157,24.946,6.0,0.0
Ravintola Central,0.9463985516617096,Affordable,Ravintola Wenla,,,13064,Pizzeria,60.157,24.947,6.7,0.0
Kaivopuiston koira-aitaus,0.92014742014742,Not Listed,Alppipuiston koira-aitaus,,,16033,Dog Park,60.157,24.952,7.2,0.0
Restaurant Elm,0.989517328333118,Not Listed,,,,13065,Restaurant,60.157,24.953,8.6,0.0
