Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Popularity_mean,Popularity_min,Popularity_max
HSL V1218 Pähkinätie,19043,Bus Stop,60.264422,24.805597,869,0.1110715430362166,Not Listed,Not Rated,713.25,285,952,4,0.1110715430362166,0.1110715430362166,0.1110715430362166
HSL V1327 Kierrekuja,19043,Bus Stop,60.262472,24.816935,899,0.0433389124318934,Not Listed,Not Rated,781.8,573,899,5,0.0433389124318934,0.0433389124318934,0.0433389124318934
HSL V1301 Koivuvaaranpolku,19043,Bus Stop,60.255428,24.82251,935,0.907339482212172,Not Listed,Not Rated,660.0,445,935,3,0.907339482212172,0.907339482212172,0.907339482212172
HSL V1320 Kairakuja,19043,Bus Stop,60.260529,24.821016,950,0.620561945799651,Not Listed,Not Rated,793.4,519,950,5,0.620561945799651,0.620561945799651,0.620561945799651
HSL V1302 Koivuvaaranpolku,19043,Bus Stop,60.254755,24.822655,956,0.502653039421673,Not Listed,Not Rated,683.3333333333334,444,956,3,0.502653039421673,0.502653039421673,0.502653039421673
HSL V1202 Köysikuja,19043,Bus Stop,60.25375,24.822528,980,0.9512837861899504,Not Listed,Not Rated,723.6666666666666,447,980,3,0.9512837861899502,0.9512837861899504,0.9512837861899504
HSL V1497 Kierretie,19043,Bus Stop,60.264231,24.814893,987,0.195292190449058,Not Listed,Not Rated,772.75,525,987,4,0.195292190449058,0.195292190449058,0.195292190449058
Pizza Express,13032,"Cafe, Coffee, and Tea House",60.295668,25.033252,970,0.9903849578006482,Most Affordable,8.0,678.0416666666666,19,974,24,0.9903849578006482,0.9903849578006482,0.9903849578006482
Ristorante La Locanda,13302,Mediterranean Restaurant,60.305539,25.023135,589,0.9855774367009722,Affordable,6.7,580.0,20,904,9,0.9855774367009721,0.9855774367009722,0.9855774367009722
SuperBurger,13145,Fast Food Restaurant,60.301126,25.024778,606,0.9607563833196824,Most Affordable,6.4,547.3333333333334,130,936,6,0.9607563833196823,0.9607563833196824,0.9607563833196824
Ravintola Buccis,13015,Karaoke Bar,60.303187,25.046878,743,0.451550870695488,Affordable,6.3,515.5714285714286,38,993,7,0.451550870695488,0.451550870695488,0.451550870695488
HSL Pysäkki V6524,19043,Bus Stop,60.300831,25.03183,408,0.6510808019657419,Not Listed,Not Rated,626.2307692307693,233,878,13,0.6510808019657419,0.6510808019657419,0.6510808019657419
HSL V6012 Vesitorni,19043,Bus Stop,60.308122,25.03337,413,0.8148214094939639,Not Listed,Not Rated,665.2666666666667,155,985,15,0.8148214094939639,0.8148214094939639,0.8148214094939639
Pizzeria Xona,13032,"Cafe, Coffee, and Tea House",60.304871,25.041874,458,0.9684128058117588,Most Affordable,Not Rated,550.5555555555555,22,877,9,0.9684128058117588,0.9684128058117588,0.9684128058117588
HSL V6524 Uimahalli,19043,Bus Stop,60.300103,25.033626,477,0.0676614080695132,Not Listed,Not Rated,644.4,293,902,15,0.0676614080695132,0.0676614080695132,0.0676614080695132
HSL V6013 Malmimäki,19043,Bus Stop,60.309034,25.034526,517,0.0497133292973897,Not Listed,Not Rated,651.5,186,989,14,0.0497133292973897,0.0497133292973897,0.0497133292973897
HSL V6310 Uimahalli,19043,Bus Stop,60.29976,25.032343,520,0.5736975178946618,Not Listed,Not Rated,772.2222222222222,520,986,9,0.5736975178946618,0.5736975178946618,0.5736975178946618
HSL V6011 Paloasema,19043,Bus Stop,60.309316,25.03316,546,0.5034720985719882,Not Listed,Not Rated,635.3846153846154,188,996,12,0.5034720985719882,0.5034720985719882,0.5034720985719882
MINI bar by Mathew,13009,Cocktail Bar,60.299514,25.035138,549,0.0784872333606353,Expensive,Not Rated,808.7777777777778,549,973,9,0.0784872333606353,0.0784872333606353,0.0784872333606353
HSL v6504 Simonkallion koulu,12057,Primary and Secondary School,60.306403,25.02435,555,0.7599088351554432,Not Listed,Not Rated,644.4545454545455,97,968,11,0.7599088351554432,0.7599088351554432,0.7599088351554432
Ravintola Simppa,13003,Bar,60.309533,25.03074,591,0.943734197500089,Affordable,Not Rated,609.25,107,949,12,0.9437341975000889,0.943734197500089,0.943734197500089
Leinikkitien Hammashoitola,15007,Dentist,60.309582,25.030681,597,0.9341191553007372,Not Listed,Not Rated,609.6666666666666,102,952,12,0.9341191553007372,0.9341191553007372,0.9341191553007372
Ravintola Viatoni,13015,Karaoke Bar,60.305526,25.022924,600,0.0658452334318578,Affordable,Not Rated,568.625,28,908,8,0.0658452334318578,0.0658452334318578,0.0658452334318578
Ravintola Simppa,13003,Bar,60.309657,25.031043,600,0.0490723264840995,Affordable,Not Rated,607.4166666666666,95,969,12,0.0490723264840995,0.0490723264840995,0.0490723264840995
Puistokulma,13034,Café,60.303342,25.044307,601,0.9802713578576262,Not Listed,Not Rated,493.7142857142857,107,921,7,0.9802713578576262,0.9802713578576262,0.9802713578576262
HSL V6309 Ortodoksinen kirkko,19043,Bus Stop,60.29895,25.033671,605,0.5884405826003347,Not Listed,Not Rated,834.7777777777778,605,991,9,0.5884405826003347,0.5884405826003347,0.5884405826003347
Fizza,13064,Pizzeria,60.299244,25.029116,623,0.5052526619422385,Most Affordable,Not Rated,679.4,55,990,15,0.5052526619422385,0.5052526619422385,0.5052526619422385
Hedelmäpesä,13072,Asian Restaurant,60.310189,25.033683,643,0.5619457996510095,Affordable,Not Rated,568.7272727272727,167,853,11,0.5619457996510095,0.5619457996510095,0.5619457996510095
HSL V6307 Tikkurilan urheilupuisto,19043,Bus Stop,60.301708,25.023161,647,0.9663829635696736,Not Listed,Not Rated,627.7,23,982,10,0.9663829635696736,0.9663829635696736,0.9663829635696736
Simonkylän Pizzeria-Ravintola,13064,Pizzeria,60.310171,25.030869,658,0.9808411381361064,Most Affordable,Not Rated,572.3636363636364,37,835,11,0.9808411381361064,0.9808411381361064,0.9808411381361064
HSL V6506 Vanamontie,19043,Bus Stop,60.309511,25.027023,673,0.200028489013924,Not Listed,Not Rated,600.2,230,953,10,0.20002848901392403,0.200028489013924,0.200028489013924
HSL V6514 Paloasema,19043,Bus Stop,60.310373,25.030736,682,0.9503935045048252,Not Listed,Not Rated,572.8181818181819,14,857,11,0.9503935045048252,0.9503935045048252,0.9503935045048252
Hillos,13383,Steakhouse,60.301879,25.021704,712,0.687048182044799,Most Expensive,Not Rated,569.375,71,942,7,0.687048182044799,0.687048182044799,0.687048182044799
Hsl V6139,19043,Bus Stop,60.299023,25.040728,714,0.389658487945586,Not Listed,Not Rated,659.0,275,978,8,0.389658487945586,0.389658487945586,0.389658487945586
HSL V6323 Koisotie,19043,Bus Stop,60.301824,25.021658,717,0.9364338876820626,Not Listed,Not Rated,458.0,74,717,5,0.9364338876820625,0.9364338876820626,0.9364338876820626
W Grilli,13145,Fast Food Restaurant,60.303063,25.046575,729,0.0071934760158114,Most Affordable,Not Rated,444.77777777777777,21,767,9,0.0071934760158114,0.0071934760158114,0.0071934760158114
HSL V6508 Leinikkitie,19043,Bus Stop,60.310757,25.030154,731,0.5066415013710338,Not Listed,Not Rated,584.5454545454545,41,910,11,0.5066415013710338,0.5066415013710338,0.5066415013710338
HSL V6138 Esikkotie,19043,Bus Stop,60.298984,25.041796,752,0.8920622484954239,Not Listed,Not Rated,550.9333333333333,57,856,15,0.8920622484954239,0.8920622484954239,0.8920622484954239
HSL V6131 Lummetie,19043,Bus Stop,60.297613,25.034962,757,0.9672376339873936,Not Listed,Not Rated,636.8333333333334,225,981,18,0.9672376339873936,0.9672376339873936,0.9672376339873936
HSL V6511 Simonkallionkuja,19043,Bus Stop,60.307905,25.021495,771,0.978918129696236,Not Listed,Not Rated,684.0,264,998,9,0.9789181296962359,0.978918129696236,0.978918129696236
HSL V6507 Leinikkitie,19043,Bus Stop,60.311314,25.031516,776,0.9562693636266516,Not Listed,Not Rated,581.7272727272727,101,908,11,0.9562693636266516,0.9562693636266516,0.9562693636266516
HSL V6512 Simonkallio,19043,Bus Stop,60.308038,25.021106,797,0.8146077418895339,Not Listed,Not Rated,661.0,286,967,8,0.8146077418895339,0.8146077418895339,0.8146077418895339
HSL V6109 Talvikkitie,19043,Bus Stop,60.296848,25.035328,844,0.5666820982158755,Not Listed,Not Rated,657.65,159,991,20,0.5666820982158755,0.5666820982158755,0.5666820982158755
